page_id,welcome_messages,brand_name,reviews_url,payment_methods,bot_enabled,last_modified
610395092166455,"['مرحباً بكم في صفحتنا الجديدة', 'خير الزر الي يناسب الحالة تاعك من فضلك']",صفحة جديدة,,{},0,2025-06-24 15:01:42.381717
487185304476928,"['مرحباً بكم في صفحتنا الجديدة', 'خير الزر الي يناسب الحالة تاعك من فضلك']",صفحة جديدة,,{},0,2025-06-24 15:01:42.381717
